"Cell_subgroups","Methods-signatures"
"B.cells_Subgroup.1.Iteration.1","Quantiseq_B.cells
DWLS_CCLE.TIL10_B.cells
DeconRNASeq_TIL10_B.cells
CBSX_BPRNACan3DProMet_B.cells
DeconRNASeq_BPRNACan3DProMet_B.cells
DWLS_TIL10_B.cells
DWLS_DWLS.Vanderbilt.scRNAseq_B.cells
CBSX_DWLS.Vanderbilt.scRNAseq_B.cells"
"B.cells_Subgroup.2.Iteration.1","DeconRNASeq_BSeqSC.Vanderbilt.scRNAseq_B.cells
Epidish_BSeqSC.Vanderbilt.scRNAseq_B.cells"
"B.cells_Subgroup.3.Iteration.1","DWLS_CBSX.HNSCC.scRNAseq_B.cells
CBSX_CBSX.HNSCC.scRNAseq_B.cells"
"B.cells_Subgroup.1.Iteration.2","B.cells_Subgroup.1.Iteration.1
B.cells_Subgroup.2.Iteration.1"
"B.naive_Subgroup.1.Iteration.1","DeconRNASeq_LM22_B.naive.cells
Epidish_LM22_B.naive.cells"
"B.naive_Subgroup.1.Iteration.2","DWLS_LM22_B.naive.cells
B.naive_Subgroup.1.Iteration.1"
"B.memory_Subgroup.1.Iteration.1","DeconRNASeq_LM22_B.memory.cells
DWLS_LM22_B.memory.cells
CBSX_LM22_B.memory.cells"
"Macrophages.cells_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.Melanoma.scRNAseq_Macrophages.cells
DWLS_CBSX.HNSCC.scRNAseq_Macrophages.cells
CBSX_CBSX.HNSCC.scRNAseq_Macrophages.cells"
"Macrophages.cells_Subgroup.1.Iteration.2","CBSX_CBSX.Melanoma.scRNAseq_Macrophages.cells
Macrophages.cells_Subgroup.1.Iteration.1"
"Macrophages.M0_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Macrophages.M0
CBSX_LM22_Macrophages.M0
Epidish_LM22_Macrophages.M0"
"Macrophages.M1_Subgroup.1.Iteration.1","Quantiseq_Macrophages.M1
CBSX_CCLE.TIL10_Macrophages.M1"
