"","B.cells","CD4.cells","CD8.cells","Endothelial","Cancer","Fibroblasts","Mast.cells","Mural.cells","Myeloid.cells","NK.cells","Plasma","T.cells.proliferative","T.cells.helper","T.cells.regulatory"
"Sample_11522",0.128958807700269,0.345270130407783,0.318360587870006,0.0109708134961706,0.00227696129165804,0.00703788035603395,0.0629269302421859,0.0037259366590768,0.0283585179051956,0.00558890498861519,0.0217346305112813,0.00600289795073484,0.020906644587042,0.0378803560339474
"Sample_11817",0.106447280053727,0.179986568166555,0.342511752854265,0.00302216252518469,0.01645399597045,0.00268636668905306,0.00402955003357958,0.00537273337810611,0.0644728005372733,0.0248488918737408,0.0416386836803224,0.0480188045668234,0.0822699798522498,0.0782404298186702
"Sample_11918",0.175084175084175,0.38047138047138,0.218855218855219,0,0.00673400673400673,0,0,0,0.138047138047138,0.0134680134680135,0,0.0134680134680135,0.0269360269360269,0.0269360269360269
"Sample_12889",0.198606271777003,0.219512195121951,0.152264808362369,0.00174216027874564,0.00871080139372822,0.0317073170731707,0.000348432055749129,0.0118466898954704,0.0146341463414634,0.00836236933797909,0.190592334494774,0.0128919860627178,0.0735191637630662,0.0752613240418119
"Sample_12929",0.0608537693006358,0.293369663941871,0.188919164396004,0.00635785649409628,0.0136239782016349,0.0799273387829246,0.00272479564032698,0.0254314259763851,0.118074477747502,0.0190735694822888,0.0635785649409628,0.00454132606721163,0.0290644868301544,0.0944595821980018
"Sample_12935",0.114337568058076,0.29340592861464,0.269207501512402,0.00362976406533575,0.0108892921960073,0.00725952813067151,0.000604960677555959,0.00665456745311555,0.0659407138535995,0.0199637023593466,0.0405323653962492,0.015124016938899,0.0629159104658197,0.0895341802782819
"Sample_13634",0.134765213729206,0.332491050747526,0.290798062750053,0.00357970098968204,0.00189513581806696,0.0117919562013055,0.00189513581806696,0.00379027163613392,0.021899347230996,0.0115813855548537,0.0579069277742683,0.0113708149084018,0.0793851337123605,0.0368498631290798
"Sample_13636",0.108131487889273,0.160034602076125,0.0769896193771626,0.0121107266435986,0.00519031141868512,0.0527681660899654,0,0.0458477508650519,0.0346020761245675,0.00519031141868512,0.352076124567474,0.0259515570934256,0.0449826989619377,0.0761245674740484
"Sample_13774",0.126405757984705,0.262708052181736,0.294646873594242,0.0067476383265857,0.0278902384165542,0.0490328385065227,0.00269905533063428,0.0121457489878543,0.0445344129554656,0.0103463787674314,0.0724246513720198,0.00899685110211426,0.0265407107512371,0.054880791722897
"Sample_14428",0.135313531353135,0.197103043637697,0.271177117711771,0.0733406674000733,0.0194352768610194,0.0902090209020902,0.00201686835350202,0.0216354968830216,0.0650898423175651,0.0146681334800147,0.0344701136780345,0.0022002200220022,0.0152181884855152,0.0581224789145581
"Sample_14958",0.004364694471387,0.274490785645005,0.150339476236663,0.0140640155189137,0.01454898157129,0.118331716779825,0.00484966052376334,0.115906886517944,0.170223084384093,0.017458777885548,0.00678952473326867,0.00533462657613967,0.0184287099903007,0.0848690591658584
"Sample_14965",0.0106761565836299,0.388295769078687,0.281534203242388,0.0213523131672598,0.00869909054962436,0.0162119414788454,0.0245156188216686,0.00395413206801107,0.0316330565440886,0.154211150652432,0.00711743772241993,0.0142348754448399,0.0181890075128509,0.0193752471332542
"Sample_15002",0.278445624825273,0.127061783617557,0.155437517472743,0.000698909700866648,0.00573105954710651,0.00363433044450657,0.000419345820519989,0.00894604417109309,0.025020967291026,0.00964495387195974,0.257897679619793,0.0357841766843724,0.048783897120492,0.0424937098126922
"Sample_15467",0.15877640203933,0.302439912600146,0.158958485069192,0.0409686817188638,0.0096504005826657,0.032774945375091,0.00637290604515659,0.0107428987618354,0.031864530225783,0.0213037144938092,0.167516387472688,0.00655498907501821,0.0178441369264385,0.034231609613984
"Sample_8356",0.00917431192660551,0.636085626911315,0.256880733944954,0,0,0,0,0,0.018348623853211,0.0489296636085627,0,0.00611620795107034,0.0122324159021407,0.0122324159021407
