"","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","CBSX_BSeqSC.Vanderbilt.scRNAseq_B.cells","CBSX_CBSX.Melanoma.scRNAseq_B.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","B.cells_Subgroup.3.Iteration.1","B.cells_Subgroup.1.Iteration.2","CBSX_LM22_B.naive.cells","B.naive_Subgroup.1.Iteration.2","B.memory_Subgroup.1.Iteration.1","Macrophages.cells_Subgroup.1.Iteration.2","DWLS_BPRNACan3DProMet_Macrophages.M0","Macrophages.M0_Subgroup.1.Iteration.1","CBSX_TIL10_Macrophages.M1","Macrophages.M1_Subgroup.2.Iteration.1","Macrophages.M1_Subgroup.4.Iteration.1","Macrophages.M1_Subgroup.5.Iteration.1","Macrophages.M1_Subgroup.1.Iteration.2","DeconRNASeq_BPRNACan_Macrophages.M2","DWLS_TIL10_Macrophages.M2","CBSX_TIL10_Macrophages.M2","DeconRNASeq_LM22_Macrophages.M2","Macrophages.M2_Subgroup.2.Iteration.1","Macrophages.M2_Subgroup.1.Iteration.2","Quantiseq_Monocytes","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_Monocytes","Monocytes_Subgroup.1.Iteration.1","Monocytes_Subgroup.2.Iteration.1","Monocytes_Subgroup.3.Iteration.1","Monocytes_Subgroup.1.Iteration.2","Quantiseq_Neutrophils","Neutrophils_Subgroup.2.Iteration.1","Neutrophils_Subgroup.1.Iteration.2","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","CBSX_BSeqSC.Vanderbilt.scRNAseq_NK.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","CBSX_DWLS.Vanderbilt.scRNAseq_NK.cells","NK.cells_Subgroup.2.Iteration.1","NK.cells_Subgroup.3.Iteration.1","NK.cells_Subgroup.1.Iteration.2","Epidish_LM22_NK.resting","DWLS_LM22_NK.resting","CBSX_LM22_NK.resting","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","NKT.cells_Subgroup.1.Iteration.1","Epidish_BSeqSC.Vanderbilt.scRNAseq_CD4.cells","CBSX_BSeqSC.Vanderbilt.scRNAseq_CD4.cells","CBSX_TIL10_CD4.cells","CD4.cells_Subgroup.1.Iteration.1","CD4.cells_Subgroup.2.Iteration.1","CD4.cells_Subgroup.3.Iteration.1","CD4.cells_Subgroup.1.Iteration.2","CD4.memory.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_CD4.memory.resting","CBSX_LM22_CD4.memory.resting","CD4.memory.resting_Subgroup.1.Iteration.1","CBSX_LM22_CD4.naive","CD4.naive_Subgroup.1.Iteration.1","Epidish_BSeqSC.Vanderbilt.scRNAseq_CD8.cells","DWLS_BSeqSC.Vanderbilt.scRNAseq_CD8.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","CBSX_LM22_CD8.cells","CD8.cells_Subgroup.2.Iteration.1","CD8.cells_Subgroup.1.Iteration.2","DeconRNASeq_TIL10_T.cells.regulatory","CBSX_TIL10_T.cells.regulatory","Epidish_BSeqSC.Vanderbilt.scRNAseq_T.cells.regulatory","Epidish_CBSX.Vanderbilt.scRNAseq_T.cells.regulatory","DWLS_BSeqSC.Vanderbilt.scRNAseq_T.cells.regulatory","DWLS_MOMF.Vanderbilt.scRNAseq_T.cells.regulatory","CBSX_BSeqSC.Vanderbilt.scRNAseq_T.cells.regulatory","CBSX_DWLS.Vanderbilt.scRNAseq_T.cells.regulatory","T.cells.regulatory_Subgroup.1.Iteration.1","Quantiseq_T.cells.non.regulatory","Epidish_BSeqSC.Vanderbilt.scRNAseq_T.cells.helper","DWLS_BSeqSC.Vanderbilt.scRNAseq_T.cells.helper","CBSX_BSeqSC.Vanderbilt.scRNAseq_T.cells.helper","CBSX_LM22_T.cells.helper","T.cells.helper_Subgroup.1.Iteration.2","DWLS_TIL10_Dendritic.cells","CBSX_CCLE.TIL10_Dendritic.cells","CBSX_TIL10_Dendritic.cells","Dendritic.cells_Subgroup.1.Iteration.1","Dendritic.cells_Subgroup.2.Iteration.1","CBSX_LM22_Dendritic.activated.cells","Dendritic.resting_Subgroup.1.Iteration.3","DWLS_CCLE.TIL10_Cancer","DWLS_CBSX.Melanoma.scRNAseq_Cancer","Cancer_Subgroup.1.Iteration.1","Cancer_Subgroup.2.Iteration.1","DeconRNASeq_CBSX.Melanoma.scRNAseq_Endothelial","DWLS_BSeqSC.Vanderbilt.scRNAseq_Endothelial","CBSX_BSeqSC.Vanderbilt.scRNAseq_Endothelial","Endothelial_Subgroup.1.Iteration.1","Endothelial_Subgroup.1.Iteration.2","Myocytes_Subgroup.1.Iteration.1","Fibroblasts_Subgroup.1.Iteration.2","CBSX_BSeqSC.Vanderbilt.scRNAseq_Mast.cells","CBSX_MOMF.Vanderbilt.scRNAseq_Mast.cells","Mast.cells_Subgroup.1.Iteration.1","Mast.activated_Subgroup.1.Iteration.1","Mast.resting_Subgroup.1.Iteration.2","Epidish_CBSX.HNSCC.scRNAseq_CAF","CAF_Subgroup.1.Iteration.2"
"10_PD1_PRE",0.46980897781769,0.373989690437695,0.208929787078105,0,0.816664344008669,0,0.016544441035313,0.00335483952422527,0.0218501959080996,0.00624449703813185,0.17015296965097,0.0217287942408699,0.162705212092897,0.131030618626594,0.0945150101872196,0.0840175532976215,0.0600629227663565,0.0507260197446313,0.0769973592283216,0.25153483084704,0.327949388426855,0.200405953424664,0.221171888603704,0.152667428921255,0,0.0261100475819214,0.0661023547208847,0.190770185752408,0.0282401346492374,0.22425350562627,0.0804648609537351,0,0.0595070191446586,0.182923259911178,0,0,0,0,0.0312027221382768,0.0330632590441712,0.0352205877404737,0.0467469400650687,0.0138586003811096,0.103925233542516,0.0380614239924543,0.458487512784926,0,0,0.166596636229234,0.00692331297493527,0.164719330865737,0,0.0970237689441147,0.00804508153549545,0.0481840437477809,0.191952121334424,0.160550496570594,0.0143220995797976,0.0159979067304167,0,0.0171807359779367,0,0.119164184416955,0,0,0,0.0935211416241171,0,0.200194395554785,0,0.17647409527261,0.1773817941361,0.0486325684747302,0.023767607140361,0.0429930245109119,0,0,0,0.0465320181187963,0.00050489829810452,0.082833369481892,0,0,0,0.0034618500145568,0,0,0.0444593286134082,0.72506104118128,0.375416925375196,0.965485173388666,0.28834726855489,0.120796910216003,0,0,0.007042209790491,0.020184526859104,0.0343344561563226,0.119271450396468,0.232464164936935,0.316323546295016,0.154084162174629,0,0.0857708450852916,0.417932812906718,0.209901663624855
"10_ipiPD1_PRE",0.578555303487964,0.295706023839364,0.162034139376123,0,0.570781944432764,0,0.0820026882755434,0.143205394814645,0.199731857858132,0,0.0650112165226359,0,0.127784950769621,0.145180445337688,0.101934124322237,0.0321233965675709,0.0475948033806469,0.0639967697605615,0.105015231760402,0.0814091677793553,0.0843569052233576,0.188102458435794,0.275487137996056,0.0494358412738774,0.0113907981875207,0.0391816360580284,0.0444734710537808,0.187866571220133,0,0.0888877262785757,0.0540751293763826,0,0.0517777644306982,0.210799096439133,0.0472206547051944,0,0,0,0.0265145956452675,0.0914805357364954,0,0.016081568378209,0.0006579291566891,0.0860997594052664,0,0.166757121669676,0,0.0918031719470936,0.664619982392163,0.0166465799972506,0.17896609314546,0.0242025553305405,0.286412018438918,0.0420229132254227,0.0600476639790612,0.102225073851778,0.121409531021825,0.0222227216046668,0,0,0,0.401418032382016,0.390036419509207,0.0378818766914953,0,0,0.0171794877015118,0,0.11950642710444,0,0.173843540799347,0.153161501839335,0.0595659942222892,0,0,0,0,0,0,0,0.0630851657987764,0,0,0.105842667046792,0.0163979908879462,0,0,0.00475923707643008,0.719723436987621,0.0922479280925799,0.977644898031395,0,0.152962305707586,0,0,0,0.00837088797258295,0.048211087177689,0.189526630815253,0.220036722737443,0.30016196976338,0.177637750151944,0.0200737962363289,0.0154899171004008,0.680277771920403,0.529523113055152
"11_PD1_PRE",0.286556412839077,0.191430059343039,0.157168561151911,0.00638783585460341,0.293355335604223,0.0305918167301567,0.0316884226429722,0,0.0599337116677017,0,0.0927605950394084,0,0.0496643384054724,0,0.0787794742329637,0.063569030359265,0.0154145910514404,0.0579317782947263,0.0903173268613457,0.043615517568344,0,0.153726362608636,0.16671350733253,0.0971053365491606,0,0.445384196991048,0.0805279789283729,0.244777235511707,0.0322130590912712,0.69510165732059,0.254770188064841,0,0.115453704573271,0.159728306613938,0,0,0.0790134855811582,0.00427331912423127,0.0490274722763214,0.0869866646347688,0.00646351798302141,0.014896519210772,0.0469102957044483,0.0985917139435139,0.137149250573221,0.415642645707169,0.101933769558053,0.134932113444161,0.150211786405308,0.0752142782982829,0.143989539400619,0.0125378619779232,0.0984545501571915,0.00676644071133625,0.0668561768548009,0.199454057467619,0.14628264232838,0.0715724384232374,0.067031172440572,0,0,0,0,0,0,0,0.0641857851917959,0,0.097540543148445,0.0119107300583846,0.0489507617614222,0.175581450648798,0,0.0117470236373452,0.0204110809831616,0,0,0,0,0,0.051563508756985,0,0,0,0,0,0,0.117718188785754,0.28541711418632,0.100333946174696,0.979989880742644,0.555821742372139,0.152703440783076,0,0,0.0287132711662204,0.0520722870928335,0.0320938236708459,0.200289827640193,0.210796553336431,0.294473223449882,0.161537120598119,0,0.256623000086972,0.449655621005405,0.401670350158282
"12_PD1_PRE",0.314352992317037,0.302454457987125,0.185361905774532,0,0.685164322487284,0.0189656640728003,0.000930988011684403,0.131060868345529,0.0949737458722306,0,0.0795030039587011,0,0.161414202381405,0.11022706880243,0.110950938949757,0.347517876198351,0.0363411123049273,0.0905885371122238,0.073642892621898,0.327976683017707,0,0.20748338515455,0.316916720846771,0.0705626319448131,0.270258581649667,0.0362484680327066,0.062839982062754,0.189401749795274,0.0628778753969943,0.131444780167162,0,0,0.0955781945098932,0.20554576338692,0,0.138009692709074,0.0795340168425693,0.0116622137408401,0.061753512925625,0.0966421575105464,0.0353850576773915,0.140496319747321,0.0182231888156254,0.0917938767238673,0,0.498596966150101,0,0.134544903235058,0.420020401345279,0.0185786205652146,0.143368957477563,0.00523750751726257,0.194518047259323,0.0226480274695845,0,0,0.049985745484693,0.11997256325141,0.0912437539346401,0,0,0,0.140577516770936,0.0240351790571549,0,0,0.053929130664824,0,0.210710251864084,0.00252848210564331,0.180524817787334,0.200816669826113,0,0,0.0294866702689592,0,0,0.0600445069614209,0.0587489559978906,0.0192249025486644,0.0797615690123624,0.168463383733563,0.0430485903857686,0,0,0.0567930122628169,0,0.00348677604786751,0.552282483472472,0.216799711295413,0.984981448911662,0.0904067468150406,0.151259628674369,0.0329881005191358,0,0.074643820482681,0.0337999791023857,0.0379926525156785,0.14778557966446,0.215263227411598,0.28879401992785,0.175333631896207,0.056787015162004,0.0304413501511773,0.523880981959382,0.435019001586907
"12_ipiPD1_PRE",0.312882824054078,0.44820730268303,0.222917746979249,0.0642036179900569,0.816327021445309,0.10995256910311,0.0990222409631671,0.0254339310372441,0.0429139506093093,0.022770010457481,0.195536258832521,0,0.116758579150369,0.527586472101535,0.0588832903133463,0.346617024885203,0.0305668330998092,0.192131490945474,0.0822422189593302,0.107906651130648,0.266604901521712,0.191292602475821,0.123936394905957,0.262438695632283,0,0,0.0932325615454584,0.116915629564081,0.0317779589552212,0.220316494444382,0.192110325920766,0,0.116599012650094,0.200219308331333,0.00237706931386429,0.00019335497402008,0.106330741137102,0.0536664601940473,0.100696973555995,0.0767966386966575,0.0384128273700645,0.0747226339749228,0.0236443544935858,0.0961369017915911,0,0.168186759948538,0.0028088399022043,0,0.0401764733432697,0.111115008702064,0.166781540684648,0,0.0240779892252991,0.00725657910242171,0.117300275904826,0.322384418217871,0.169330702989253,0,0,0,0,0,0.0377833199824794,0.0891303179465122,0.00993214678577321,0.0175663449660775,0.0480027725629913,0,0,0,0,0.202766764484756,0,0,0,0,0,0,0,0,0.0689600824122446,0,0,0,0,0,0.0126164189840971,0.0346007913400826,0.0715796819956057,0.0799496609549491,0.833801541681265,0,0.169406857208188,0.136264483262506,0.162797447286118,0.192225122630801,0.236384771209631,0.0159526122758002,0.209704848899798,0.104402963006656,0.107161861390918,0.12193106477075,0,0.0591761330814342,0.417069656696326,0.266497820904673
"13_PD1_PRE",0.384447675496947,0.229213671732375,0.120472762849369,0,0.710102579817184,0.0265956565926974,0.0273669907831889,0.148837722799719,0.137539120754921,0,0.0424352464206511,0,0.00896223998718086,0.0990449116592239,0.0476866515678208,0.0770633367076999,0.0311256354065896,0.0537861672234483,0.0822090278680447,0.0925418177327691,0.194121523332124,0.123729775306138,0.248384395976231,0.0163462216839815,0.0525016262942953,0.0678244027176388,0.0375575021998316,0.235996850972718,0.0389628857061633,0.304190044224978,0.0135334585407594,0,0.0586875619498382,0.19342398544478,0.0271252335796051,0,0.0083781922403716,0.0143050403765611,0.0586513338547894,0.0696300543727205,0,0,0.0281113990564043,0.0904937669821883,0,0.415451262198151,0,0,0,0.00046798923599883,0.138094988946586,0,0.127794094282976,0.00270248045213186,0,0,0.121824230602708,0.0758344619273656,0.0388015967336085,0,0,0,0.222073017465177,0.0899890885307057,0,0.0497761001607481,0.0801708579055464,0.190682249242189,0.185171185927365,0,0.116169420740433,0.15952625473117,0.0873740009050278,0.0187612657312658,0.050379444178244,0,0,0,0,0,0.0631494094177277,0,0.00808701109700702,0,0.0237540781431162,0,0.00491580966433577,0.031400966279949,0.82674596748321,0.552047441585575,0.99002437801503,0.502222710007573,0.120018220611158,0,0,0.0350857935894462,0.0241065514017139,0.0284118922244978,0.140261901923824,0.271889680919354,0.312124965148741,0.169462499606827,0,0.172702216693871,0.508159555128919,0.207474062609796
"13_ipiPD1_PRE",0.201395240502659,0.276376966088306,0.101344185142151,0,0.562678024295966,0.0608471206211219,0.0277270117748806,0.00621815652886719,0.0257212482946442,0.0111519555917179,0.413042782041812,0.000204894401992731,0.119594288167393,0.37197794009767,0.0830802526353134,0.273339170186275,0.102636516961739,0.170575121089007,0.0602628282071043,0.142585207614222,0.0114726488508671,0.254475881508644,0.178509202452845,0.120314808044606,0,0,0.117456425188321,0.12995733120787,0.0512720414260693,0.0610433245676735,0.179003595956731,0,0.0321822589223895,0.152500562349558,0.0385174774237711,0,0.042918556257926,0.0218227143747852,0.0949312852863108,0,0,0,0,0.0875263475369015,0,0.0984667460091424,0,0,0.329662478971392,0.068621346068613,0,0.0679580861955813,0.146782712730873,0.0759447002366663,0,0,0,0.0110430642337504,0,0.248360101555793,0.138629676066121,0.493376323488363,0.437321975704034,0.179507236527809,0.103612753978914,0.190708164165502,0.0244403990591505,0,0.16167154528556,0.056713744157112,0.172198900102761,0.220297474811563,0.156625035404887,0.15648316714982,0.0970662439010698,0.0400923450861502,0.0453523687065618,0,0,0.0385107852745386,0.0909983332189376,0.118219011998253,0,0,0.0373934981213618,0.0590716546978039,0,0.0146198665450782,0.389006784238938,0.289499022252014,0.869596933294671,0,0.0742898345823774,0,0,0.00308337143813615,0.0246911257859836,0.0227984454657053,0.0807264135530613,0.131737335648276,0.208420147394144,0.0974160667079213,0,0.0650388294307429,0.222962683095558,0.100874311626332
"14_PD1_PRE",0.298548962922762,0.191326575473762,0.0053127108931015,0,0.654517872152669,0.0220346467020822,0.0011320817041906,0.124471999284616,0.089954435303209,0,0.150218348744393,0.0527430086504401,0.00458517213612629,0.00093341514459981,0.0399072527137236,0.113466953455824,0.0156615524796734,0.0709555784530502,0.106631488299933,0.315793241474144,0.214904846219651,0.181566324870201,0.329487623388738,0.195266918652356,0.118967180206651,0.345482127847331,0.070418744868194,0.314374050096718,0.0892105848359643,0.435554017408003,0.0451215267796039,0,0.0276613452313983,0.215840389584198,0,0,0.02765712073591,0.0051759313880615,0.0508546594408733,0.0612709014549802,0.0287683091607234,0,0.0341057967341332,0.058478656281191,0,0.316123680804347,0,0.0237109610204412,0.105184475425676,0,0.173606084099881,0,0.0186140669867483,0.0803467327740078,0,0.0249211063126966,0.085259878195376,0,0,0,0.0984677806652061,0,0,0.0174604221589972,0,0,0.0149900246011695,0,0.114776115695745,0,0.0189506592646843,0.161743486622134,0,0,0.0160357218720997,0,0,0.063191460623003,0,0,0.0596303405169214,0,0,0,0,0,0,0.0355628070830949,0.598652290721927,0.431112868960226,0.981491247423893,0.383715272039247,0.146865896885251,0.0456080632178278,0.0800927829259561,0.0832141408811688,0.0338297034823471,0.0431631886895371,0.0607671356504958,0.326247097028671,0.308254378767277,0.178478028495966,0,0.212346943619712,0.391087505516768,0.224757792763913
"14_ipiPD1_PRE",0.431777588220522,0.249897380307366,0.00225255920508783,0,0.688864486386648,0,0.00336740203668711,0.0612250610501348,0.0624912898245114,0,0.120034716788464,0,0.0869170264554461,0.177116870953134,0.0823163636613443,0.157196322469424,0.0498099616226428,0.0382702288394213,0.126681699719069,0.183249663823615,0.167346864874921,0.211699298564449,0.284021135907133,0.0701415209106852,0.216167524539751,0.0729313202759641,0.0791240693479223,0.223441601173396,0.0502908556185112,0.163919752195099,0,0.0408484585534357,0.0651384293143144,0.228616024081316,0,0.0420729180520012,0,0.0211850766219581,0.0591641434646628,0.0751825540573093,0.0247490086464368,0,0,0.066000771373361,0,0.393068510063208,0,0.0545871648463679,0.257890140420356,0.0122470239385729,0.156026113078274,0.0504175109364225,0.271482287494748,0.0339302518003195,0.0649769309226331,0.247710457754386,0.20400945801114,0.121154229575844,0.0246088346314999,0,0,0,0.196131275285387,0.0192041070814983,0,0,0.032725722486247,0,0.152629444031118,0,0.163154211211503,0.149198588970404,0.0670140365525558,0.0128729365229056,0.040439460042277,0,0,0,0,0,0.0444265765709456,0,0,0,0,0,0,0.00801061900898685,0.709034921459962,0.292237361103874,0.987087631411267,0,0.146606938228545,0,0.0270108520210797,0.0933295164662344,0.0230944692693142,0.0448191316703496,0.139255821012476,0.291874778355117,0.247386149575761,0.182071052807961,0,0.0713436311009557,0.562455328373622,0.377597974269821
"15_PD1_PRE",0.32067218889249,0.362048269441909,0.227066306477542,0,0.69086891212332,0,0.0559006220590037,0.144317206206246,0.130813119752406,0,0.0484952826873321,0.00640510994289965,0,0,0.0378584521904919,0,0.00440204308343727,0.0552554676539855,0.149165670911665,0,0.00423294485666997,0.134251461256368,0.208457340350064,0.0389654998068057,0.163816494504599,0.0170969399896117,0.0538378653077229,0.131677258157746,0.0516629685593335,0.6469722267761,0.0192722187578315,0,0.103414931518657,0.181785001559703,0,0,0.0483731263876662,0.0328385286047854,0.098716310103182,0.129592616927859,0.118197666010419,0.193505606088301,0.0525398184632768,0.119680167347916,0.161595928761028,0.6586397708328,0.0196525241561621,0,0.166969950730129,0.036765503516367,0.252276336760859,0.0616579213310743,0.238772026403576,0,0,0.123381864674366,0.0785338009019091,0.0769516778614718,0.0945987755606555,0,0,0,0.13043821912604,0.114719862879711,0,0,0.0183808335306532,0,0.109624821027347,0,0.107040401015259,0.185732110179628,0,0,0.011375760706904,0,0,0,0.0780491090675521,0.0329587114492781,0.0685924379323349,0,0,0,0.0462547297893181,0.00122455246395198,0.00242979129943888,0.0997488588977839,0.247477986013652,0.332962276793065,0.914071743754516,0.153513224949682,0.16937071984307,0.0165526856564769,0.0122733169450767,0.0673455251124133,0.0656195897230299,0.042910756539292,0.154539607675071,0.249028337118945,0.269182056622899,0.180186517727668,0,0.0854129830872924,0.571748726537233,0.30173249064351
