NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	T.cells.proliferative	Mast.cells
CD8A	2.0041675588018	0.0521169601734068	0.0880662993093332	0.249993686694607	1.57537970036034	0.0138189740330251	0.026134141948488	0.0583082643787513	0.0162884850807378	0.0336905244019899	0.0788552031188668	1.15287992934386	0.0874440663525847
GZMB	1.39837891106617	0.0439808318768708	0.0973569354352852	0.0826891328887723	1.94188380727931	0.0097715728025471	0.0104758129075721	0.0274206463540538	0.010269347307913	0.0691274378037814	0.35244615096413	1.42102510714531	0.013896945058083
NKG7	2.3579627717165	0.0664687140490335	0.183883779508372	0.301643087262227	3.91500379012951	0.023121121560621	0.0527604447470771	0.0589844661705503	0.0307393938254057	0.0595741191957936	0.212200272333122	1.81077801799774	0.0771076279432595
LINC02446	0.87102737681422	0.0135256468708357	0.0284225591396292	0.0449856141770894	0.341443880320847	0.00538351951731528	0.0163485750004097	0.0131450652183218	0.0151847009294726	0.0120920997478745	0.0285666350000157	1.05984160649776	0.0133394028053803
XCL2	0.856330432408585	0.0134072656202706	0.0522197474477192	0.0537702267296872	0.68122912634389	0.00442861707659108	0.0327196127838559	0.0397419173842512	0.0123998461098507	0.0151898891000134	0.0559577907154898	0.44185781510671	0.0273678796631949
CCL4L2	1.03704554386082	0.0269121616672755	0.947741166024158	0.0629582501810913	1.85292568094148	0.0116666258661515	0.0264902342248846	0.0534476980287931	0.0514099111404325	0.0227014352345105	0.148685023932162	0.6645210206906	0.155110621695616
CD8B	1.26468155702926	0.0462232060913169	0.0482426472691198	0.178235694533163	1.1273125546185	0.0055669827557639	0.00700949022063503	0.0325761657975586	0.0130033445867216	0.0206549589922934	0.0511856558675062	0.671572391192118	0.0332200978483473
KLRD1	0.765850035700956	0.0123029335534757	0.0175654402561486	0.0325767958879063	2.01995571382402	0.003221863119995	0.0103160289702592	0.0249121145362711	0.00931077322544918	0.00676862923349395	0.073889957799645	0.451834148844083	0.0371485985460736
CCL4	2.33916583114362	0.0780721362399362	1.60025574919457	0.369707560966117	3.65974201811893	0.0608211736972112	0.0749811819306126	0.0834876449590319	0.107090907877889	0.117506922005704	0.681814116572668	1.71669369633993	0.145842621926548
GZMH	1.12744091547185	0.029641183482637	0.0550171518760423	0.126905061018213	2.69232106818928	0.00763570682479384	0.0205367961415538	0.0227527511477024	0.0131379902167078	0.0361694510827462	0.0739567615671786	1.01988381799062	0.0129405395919774
KLRK1	0.862404211687862	0.0177191149094882	0.0231922584337493	0.109025866993902	0.515569219642424	0.0125944440109784	0.0126608668654053	0.025210447280148	0.00548715813602329	0.0112095548018362	0.0419776288394681	0.565600529233615	0.0336007811990725
CRTAM	0.621995815865154	0.0148335356153649	0.0486723159315685	0.0353477676255768	0.382646984628492	0.0113547213046535	0.0114035528015207	0.00861384118540903	0.0019526105796175	0.00826911913806742	0.0912916702662637	0.432895648519198	0
XCL1	0.766381970322072	0.0196298568764131	0.0410303552510838	0.1319352661867	0.505336199063329	0.00452845259812792	0.0437973199067292	0.0440048423152738	0.0259715278551888	0.0136540678080284	0.102640455562673	0.226385322093964	0.0234771773928688
ZNF683	0.416099746976431	0.0047207406225473	0.011864221940438	0.0341861276332499	0.143305394405455	0.00146996928069062	0.00974308329599875	0.0084080533141947	0	0.00504238964301167	0.0169952440642549	0.256904634912809	0.0175103129172812
PRF1	0.69111875018455	0.157057884944557	0.0252349700468282	0.107199716488977	1.86559068731123	0.00451687234054772	0.0108285124103228	0.00995002163483409	0.00642403692056001	0.00910992693855907	0.135390718623312	0.4125740985473	0.0175641047711275
GNLY	0.807110632836893	0.067983348601304	0.0363105106726289	0.121175071367613	4.38750040180727	0.00573536794160157	0.0212071306175656	0.0315547798456771	0.0111769244392909	0.0139748392199928	0.394427160297087	0.84925307794412	0.0534500219384018
CTSW	1.30386390010441	0.0608610078976655	0.0725025594855348	0.394842582898769	2.06902931679891	0.0351552843813166	0.00732081388985669	0.0357450038306276	0.01697632853425	0.0693950488522197	0.18749750561105	0.652279131551584	0.722968917274151
IFNG	0.996028857988896	0.0365921639183453	0.0593492486576239	0.266547986298196	1.59898831784882	0.00891033948838026	0.0207729743586646	0.0344067909967587	0.0410470757186902	0.0253166856237433	0.51099141381101	0.733745659311612	0.012699341044134
KLRC4	0.391029132777512	0.00956918943155689	0.0101333282267054	0.0381880070253135	0.303275290984181	0.00231144650673813	0.0132224963770972	0.00369886909977774	0.00444356871551677	0.00208059119275122	0.0214977643565979	0.237125221729279	0.00857048172529052
GZMA	1.73269563251159	0.0715834207041062	0.105008975851039	0.661761416264974	1.94965956267409	0.0153959563264541	0.0248483805744736	0.0515725683183706	0.0285987471760983	0.0531790609156544	0.490118094939672	1.60767393473784	0.0102656807218279
KLRC1	0.287733412904847	0.0029978508249832	0.0121529681483905	0.00773963409062527	0.0284318751550409	0.0012956113392462	0.00758898456891378	0.0132560146881846	0.00211126539116031	0.00289749898738933	0.00157964193892336	0.125160947084427	0.0347632758876904
LAG3	0.439315237888791	0.115737816542522	0.0289226961446305	0.0625669126319623	0.238173457143188	0.00257564213312449	0.00220063577095668	0.00821919820728373	0.0367561810415954	0.0225975126529282	0.464960730254293	0.593341801802317	0.00581063092971335
GZMK	1.37502232737447	0.0974157794565639	0.0945082800338666	0.595067623425392	0.127148710899153	0.0145945150805568	0.0201448003451029	0.0383141396197487	0.0159566849127583	0.0485331042250901	0.16706812715459	0.602119232177734	0.00912308611837374
CCL5	3.89762171979424	0.183077156256807	0.456985671569904	1.77574294687867	3.79713325344046	0.224524005215647	0.0888921014688633	0.204772153731143	0.158881651978383	0.203145316681176	0.899011049340823	2.48013115425905	0.188536439582604
KLRC2	0.255854384353884	0.0023452118621102	0.00872140195841591	0.00375167955567506	0.311303994083029	0.000963079681750338	0	0.0149191522419676	0.0048262031109658	0.00315914131475217	0.00407124950500306	0.188493015090624	0.00918967646806419
SLA2	0.484303034294518	0.0917689475712183	0.0276510321907699	0.116749049933112	0.305800698247794	0.00592565126934944	0.0116151415639453	0.0112112716342626	0.000120601562052133	0.0107195761163126	0.164475580431268	0.374423554738363	0.0455008908599412
CST7	2.24280243682309	0.905694194044664	0.639721784523378	0.994204954509381	2.80329941902261	0.0221973602276316	0.0395448324856935	0.0922854810171806	0.0456786986152918	0.0853365835646788	0.998107610568553	1.10928491556644	0.875972855739853
CCL3	0.372370417581913	0.0213235427962987	1.71896758676817	0.0162880016829471	0.68300507472256	0.0122103887415384	0.0491494823385168	0.0140919750102897	0.0222211252194516	0.111885083709702	0.109587050662069	0.591764402270317	0.0171093558778568
AOAH	0.394956371588516	0.0174915432280351	0.24984145047764	0.108744453184411	0.376342352966624	0.00632123448274674	0.00420152589126869	0.0111114843954308	0.00249535605825227	0.0075045428294124	0.0454789983179279	0.115886081616084	0.0263644833954013
TNFSF9	0.518743547822972	0.042791395285907	0.186578159251561	0.0958961545291368	0.473100791171467	0.1945252633102	0.0515560528194463	0.183185096023681	0.0628338994455259	0.0558492349666176	0.113233448930843	0.137941539804141	0.0317244359019662
TIGIT	0.653690449824384	1.39984344424279	0.0415997819105784	0.180408558520783	0.433846433879196	0.0146487547940702	0.0246224559015698	0.0312714810005288	0.0120772378736333	0.016214586136016	0.915312257783855	0.383761246760686	0.0120628906350557
GABARAPL1	0.811486583080582	0.484947978248388	0.396041011096289	0.359189543470622	0.452207219193927	0.0291796585813504	0.485391476915942	0.395003637102213	0.551415062758136	0.0615567386407744	0.224247125082625	0.386128226220608	0.129683626549585
MATK	0.447895347935365	0.0117141490682053	0.134175009671599	0.176081944028962	0.82945988023375	0.0153046148339931	0.00339030557208591	0.0338342618406489	0.00422748623810378	0.009911555131728	0.0103803670691873	0.102370087265968	0.387661471293897
LINC01871	0.662543116464352	0.0505113698318804	0.0370740727521479	0.31851964039883	0.658601113004009	0.0041154605026422	0.00624761150942908	0.0159103238850497	0.00647103664127281	0.0133558175613483	0.5096617754467	0.475375259160995	0.0270637881188166
