NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	T.cells.proliferative	Mast.cells
CXCL13	0.311376931692995	0.0597841052707838	0.0654975066531231	0.0642299155749767	0	0.0160831232742018	0.00538234257119328	0.00339777365315452	0.0214850295627695	0.0280041678109523	3.07616453293058	1.72761464090898	0
DNAJB1	3.01207563846233	2.77428764432715	1.96074965022744	2.89440883567116	2.91012239112796	1.74194584777646	2.46673037643495	2.3377345014768	2.86900955430019	1.78085646819888	2.24434567852907	1.85688974892143	0.855115585187528
RPS4Y1	0.460582682846882	0.418651084229111	0.414749870269941	0.396102926612186	0	0.589401460110873	0.745615518014017	0.656063828599586	0.444239386063867	0.126265337717351	0.522883417197523	0.661729116555518	0
HSPA1A	2.3928286238946	2.34419790559426	2.40082042188438	2.31548624692851	2.02436880148516	1.76572222243054	3.29837870615983	3.04583446149906	3.23708756329185	2.2175629281734	2.00627992108347	2.26815111702467	1.20154533676942
TYROBP	0.107808927449262	0.00466031601089777	3.00465953838695	0.00906580296668915	1.8258248393519	0.0214290545754401	0.00181011824643708	0.030067940734857	0.120454993154316	0.0331252552434726	0.0086149674243112	0.00709668633478555	1.79658554467051
GZMK	1.57385892040573	0.100873114283908	0.0974163533254108	0.584579373203686	0.0846783160989285	0.0131908321869901	0.0190770307747808	0.0453920597085828	0.0350000614982636	0.0611088929856728	0.214303987961371	0.582666986989517	0.0117170408792954
HSPA6	0.650924493504196	0.31928431760802	0.543062121703557	0.603955132324386	0.739174800476136	0.53169428905569	0.819876327910525	0.680368013349083	0.802154233911579	0.778335214013109	0.601385068205088	0.342362522981803	0.0268123828251048
TRBV9	0.197189290610454	0.109680626765677	0.00419141624309503	0.0604891947708258	0.288195081950342	0.00185727427406991	0	0.00245695396077395	0	0.0143468044135846	0.102346166903219	0.467299185415507	0
FCER1G	0.0375846149744717	0.0330086252140539	2.54403358188044	0.0046323768448094	0.100586228480901	0.00552358064346677	0	0.0100250613492018	0.0838341540642258	0.00631303178813946	0.00310714451702511	0.0160853299667213	2.15921533050242
HSPA1B	1.79866242575612	1.55363137847971	1.54401833349395	1.87220501154635	1.79457437641362	1.20709130153611	2.49271510464244	2.10053057522395	2.24581240068957	1.80340665216612	1.41331380043488	1.33952916599554	0.697456525727876
CCL4L2	1.00479328159922	0.0194195594698906	1.00641525227412	0.0815654759025528	1.93665513186658	0.0119272183061478	0.038272389690415	0.0476353776478001	0.0307663911014981	0.0428321296666238	0.14856455448036	0.872426213099038	0.159278318809804
CCL4	2.40082992169324	0.0736697118442177	1.80749623752355	0.407839093152414	3.70724709930417	0.0587727631532378	0.104799211597417	0.0839852114868689	0.32977118662185	0.197014214201669	0.600210595478411	1.87640431237023	0.15573155852968
KIR3DL1	0.0228239609322798	0	0	0.000214446707278479	0.0296833369220232	0	0	0	0	0.00048107557756987	0.000748240501392254	0	0
KRT86	0.0988227020322986	0.00697777734009091	0.00615665922176403	0.00395088229590321	0.0116584108789458	0.0015480550505045	0	0.00488373591127413	0.00227516839547871	0.00303870519682034	0.0529543226350718	0.07110410282185	0.00212989918116924
KIR2DL4	0.0543366866456132	0.000286941366812247	0.00164838454470584	0.000392258035591529	0.00732100715988275	0.000152932941186237	0	0.000692609205112735	0.00444431893531044	0.00150206041711529	0.00412457692584878	0.0533943108038278	0.00118443304491742
PTP4A1	0.193530052232089	0.181266489877731	0.0812275607363187	0.163720414220801	0.202448169442477	0.107964756571154	0	0	0.0656394103202443	0.0384395938867721	0.0513016810016004	0	0
XCL1	0.693976333801615	0.0166038974104853	0.0324863801006226	0.141113077070433	0.358383657514439	0.00417502343165583	0.050759144306268	0.0455422978271583	0.0233009784507415	0.039304698740887	0.0751112062676843	0.3512430660937	0.0230298612073777
AC016831.7	0.223211958938514	0.189575321342733	0.0665656895776363	0.254625233129016	0.243874088343782	0.123294915741128	0	0.00172985889996851	0.0707425569549299	0.0620897498438475	0.0927260997538305	0.0115488045236254	0.0233039113096733
GZMB	1.2033433308084	0.0345094256776067	0.14323516485962	0.0823866369433485	1.95366467882114	0.00893770808263823	0.012886991443804	0.0359739221804355	0.0179805044611508	0.0922906961691419	0.233747897759332	1.44600145605996	0.0147121877242232
TRBV12-5	0.0283462777931149	0.012526782274584	0.000396737776479255	0.00801760628266235	0	0.000391919840185396	0	0.0031808779889529	0.00124909489516722	0.00258188178002174	0.00318512336926545	0	0
TRDC	0.0770296806402423	0.00791373256968021	7.5374031410797e-05	0.0049462820979636	0.297847295942618	0.000374664979516324	0	0.00347782777695676	0.0041333922198614	0.00188709696196076	0.00462675214819143	0.03204198333586	0.00625215155826422
GNLY	0.793629233435843	0.0625264034208936	0.0424504595856733	0.10763875678664	4.40513046420954	0.00517239635537119	0.01458198424984	0.0351155393769293	0.0548770198231212	0.0333649793903587	0.254331809990746	0.691907396056415	0.0590671498493744
TRBV5-4	0.0752817931431148	0.0697495238509491	0.0153424110871786	0.0465780925456965	0.00766697896694807	0.00057267966454442	0	0.00670825944085029	0.00583336381307327	0.00317047360910583	0.0765753284903045	0.046680536050204	0.00857390819489871
TRBV19	0.167274320893451	0.141107638824965	0.0203521729769211	0.123290573295665	0.00366909188622124	0.00108924991894442	0	0	0.00276982335372319	0.00580429531213081	0.192243748352915	0.214295932563282	0.0162855049879198
TRDV1	0.0839635460300688	0.0185573438458101	0.00242483340657436	0.0084113091277217	0.0291308463313096	0.000136427905480253	0	0.00328020575547199	0	0.0014139545541749	0.0127143306565825	0.0428049070079303	0.0132586581908496
HAVCR2	0.186650920463434	0.0959540144418382	0.403855694900508	0.0214753066788281	0.0787616593957673	0.00773732169430017	0.00133663215439171	0	0.00854325485188156	0.00552331278638126	0.256091665191434	0.390902708870181	0.67664543971587
TRBV7-2	0.194919823118331	0.169346519903538	0.0274709082119937	0.153221041651098	0.0157660476457695	0.00340402557891882	0.0254962837679099	0.016415126344378	0.0101294537497659	0.0126699443965509	0.189608665133746	0.195077905006217	0.0389353447806245
LMNA	1.09110488523798	1.26764817416994	1.33725394719034	1.34014870898792	0.170634923037698	0.72599668292831	1.76723251313982	0.878380917548032	1.4943114752229	0.346992119113806	0.979574424316173	0.489991063083871	3.68950135560574
RPS26	2.96302808861623	3.09775176199759	2.50020097103746	3.02358027347856	3.7366760645745	2.76683730135327	2.9137807862724	3.04263713855528	2.76604503469454	1.93850053785226	2.69630510827129	2.3507518601382	3.236243244879
KLRC1	0.233950469342172	0.00337423844052947	0.0202752141510767	0.00630918955064664	0.0540758913069917	0.00115551839130681	0.00518321143211815	0.0171958497969286	0.00169576742754593	0.0145312561987367	0.000841210631877443	0.121866544843447	0.0383152929489022
LINC02446	0.77522766832812	0.0108931087229913	0.0300106602584555	0.0600215683022187	0.400295651214697	0.00382240164984574	0.0153698230194767	0.0111232147891049	0.0431793339738083	0.0319786209215923	0.0229926067565226	0.97043613467301	0.0142319633815991
IL7R	1.34395159412142	1.64774718417385	0.701520871501114	2.50362247814562	0.373882715939551	0.031841443636205	0.076862662031858	0.303287962932716	0.131603187255487	0.186628912491355	1.41094437863971	0.277961005947016	0.198563111529173
SH2D1B	0.0155723209152947	0	0.00218091378342164	0.000266630575859997	0.344155762119256	0	0	0	0.0040286408199404	7.26093250581391e-05	0.0010701133252491	0.00785553108132772	0
KIR2DL1	0.0163345459942738	0	0	0.000121516978117211	0.0211752514277338	0	0	0	0	0.000562125872342945	0	0.00222837294798684	0
GEM	0.143852392656648	0.440264541590052	0.275124175035103	0.052544987766882	0.00091102517253758	0.0641557544609515	1.17233562052346	0.0160946912633293	1.52411458305621	0.0397239454148769	0.689164100896515	0.401381208351685	0.0408018240218234
SERPINH1	0.18151484001083	0.254686837886374	0.166660383674983	0.133172871941269	0.0330076586421221	0.104406974677569	1.28970490554623	0.905007949346226	1.42439274087859	0.114578081368072	0.344034398076201	0.13535124113168	0.0167760385270275
HLA-DQA1	0.719132008743356	0.577699673600174	2.83510317724453	0.132681484546785	0.283195010587814	2.70098350179534	0.0280136710267466	0.482853641823763	0.125157947547721	0.251792921775168	0.264316231150565	1.51675991955736	0.0329251115967106
TRBV6-1	0.0627806165532855	0.138789184786023	0.0154402134391003	0.0848878790671498	0	0.00151233049775657	0	0.00842013468987769	0.0103012304928104	0.00688105610566441	0.107097584091953	0.0694224709969268	0
CD74	2.58772919125342	2.94247522595717	5.33629057605329	1.8374558261289	2.09994566214014	5.34049084034284	0.285640031078729	4.19039827188908	0.965734030339955	2.41302276940819	2.28813258785592	3.6444690268222	0.713445185116277
KLRC2	0.205598293451819	0.00226407248925396	0.00655307641013794	0.00259803653740804	0.920378102851152	0.000741993951106856	0	0.0123467678426516	0.00181466776474864	0.00687346793438755	0.00258563833086226	0.154126049018434	0.0099127815955986
BAG3	0.362190158983649	0.457477361530735	0.69522323650902	0.423188579390705	0.112491423421102	0.37217425348975	1.03254687846469	0.811756150747095	0.994952266663782	0.292141754216718	0.622293217050312	0.336847842321976	0.075058261898947
