NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	T.cells.proliferative	Mast.cells
A2M	1	1	118.033433792828	1	1	1	2634.04708157421	1730.26040471998	4943.8138586887	1	1	1	1
A2M-AS1	1	1	1	1	18.5654521769126	1	1	1	1	1	1	1	14.5197796154629
A4GALT	1	1	1	1	1	1	53.9412556688564	66.3590733422876	31.0814568720085	1	1	1	1
AARD	1	1	1	1	1	1	1	1	1	1	1	1	11.4881260099123
ABAT	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA1	1	1	116.107949991125	1	1	12.8929134743817	23.8292386462702	1	72.0878682339593	1	1	1	182.923356205122
ABCA2	18.541638098761	1	1	1	20.9402505721314	1	1	11.4814695709951	15.6107090042569	1	20.6986951830035	20.4769864875503	1
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA6	1	1	1	1	1	1	1	1	98.4243254314465	1	1	1	1
ABCA7	12.0338244562742	1	13.0541818510603	14.0225754464446	1	1	1	1	1	14.5002274381176	1	1	1
ABCA8	1	1	1	1	1	1	1	1	134.222836978169	1	1	1	1
ABCA9	1	1	1	1	1	1	1	1	42.9327454260001	1	1	1	1
ABCB1	29.4229538889808	1	1	18.8931679311474	21.6121419502818	1	1	23.328867762656	1	1	1	16.8717705551573	13.6964373961481
ABCB9	1	1	1	1	1	1	1	1	1	18.8289910746228	1	1	1
ABCC3	1	1	23.7143421526483	1	1	1	1	1	18.0349222151703	1	1	1	1
ABCC4	1	1	16.5906384543231	1	1	1	1	37.1614516230669	1	17.0435662842062	1	1	106.078491938994
ABCC6	1	1	1	1	1	1	1	1	16.95652197401	1	1	1	1
ABCC9	1	1	1	1	1	1	88.4572560421335	1	22.9851502218746	1	1	1	1
ABHD11	1	1	10.0887544965885	1	14.5282284311788	1	1	1	1	19.9980118584886	1	14.2258983056149	1
ABHD17B	1	12.5122350057718	1	1	12.0345740525991	1	1	1	1	1	1	1	17.613293023269
ABI3	81.7828347060322	38.504631728017	64.4280316608182	23.6028016692575	106.778454816233	20.5931842838743	1	86.1050824366022	1	1	16.2240540572411	66.4536587462847	1
ABI3BP	1	1	1	1	1	1	23.5612153836873	1	227.705744707225	1	1	1	1
ABL2	1	1	179.055197458763	1	1	1	90.0665973312965	53.4122453186525	66.9349443109934	17.442098258661	1	1	63.3082456940712
ABLIM1	90.1807676062819	39.5916748852422	1	96.8258361234944	42.9008283147289	49.3923296699275	1	45.3844013203899	28.2012585739798	15.5151857662801	52.5876653739492	36.9022266070267	1
ABO	1	1	1	1	1	1	1	1	1	1	1	1	1
AC004241.1	1	1	1	1	1	1	1	1	1	14.1690843047019	1	1	1
AC004540.2	1	1	1	1	1	1	1	64.8584862364505	1	1	1	1	1
AC004585.1	1	1	1	14.5794930414082	1	1	1	1	1	1	70.9166549907791	24.4401876173487	1
AC004817.3	1	1	11.815452176085	1	1	1	1	1	1	1	13.171862493811	1	1
AC004832.6	1	1	1	1	26.7692446790223	1	1	1	1	1	1	1	1
AC004865.2	12.6404768219737	12.35262013969	1	1	53.0367615161057	1	1	1	1	10.5215930843203	15.0328355455004	1	1
AC004982.2	1	1	1	1	1	1	1	1	1	1	1	1	1
AC005037.1	1	1	1	1	1	16.860443739825	1	1	1	1	1	1	1
AC005280.2	1	1	20.4380184931772	1	1	1	1	1	1	1	1	1	1
AC005332.4	12.6736984429109	1	1	1	1	1	1	1	1	12.368410552412	13.4069107321594	15.664263189834	1
AC005392.2	1	23.9337174306423	1	1	1	1	1	1	1	1	1	1	1
AC006369.1	28.2764917093826	1	1	35.4848404853701	53.5415069206527	1	1	1	1	1	12.9239730607531	1	1
AC007216.4	1	1	1	1	24.7016431649548	1	1	1	1	1	1	12.9356798375163	1
AC007405.3	1	1	1	1	1	1	1	1	1	1	1	1	1
AC007569.1	1	1	1	1	1	1	1	1	1	95.1210775207638	1	1	1
AC008014.1	1	1	1	1	1	1	1	1	1	55.6477821919646	1	1	1
AC008105.3	1	21.7160096082549	10.5427131782488	13.2206393881519	1	1	1	1	1	1	23.8214825268091	14.4699824958565	1
AC008267.5	1	1	1	1	1	1	10.8532933485622	1	1	19.3999377807668	1	1	1
AC008555.5	1	1	1	1	24.2242765716071	1	1	1	1	1	1	1	1
AC008764.8	1	1	1	1	13.7788759372862	1	1	1	1	1	1	1	1
AC008771.1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC008957.1	1	1	1	1	1	10.6343298375913	1	1	1	1	1	1	1
AC009831.1	1	1	1	1	16.0854639828049	1	1	1	1	1	1	1	1
AC010226.1	1	1	1	1	1	18.664278340961	1	1	26.8128829002827	18.0611995219879	1	1	11.4865000786174
AC010654.1	1	21.2691410642673	1	1	1	1	1	1	1	1	1	1	1
AC011603.2	1	1	1	1	1	1	1	1	1	1	1	13.2396561399868	1
AC012236.1	1	1	1	1	1	1	1	1	1	265.80000597971	1	1	1
AC012306.2	1	1	1	1	15.8940652604675	1	1	1	1	1	1	1	1
AC012360.3	1	1	1	1	15.3395882722452	1	11.2128234970707	1	1	1	1	1	1
AC012368.1	1	19.0664180057781	1	1	1	1	1	1	1	59.8707175158647	1	1	1
AC012615.1	13.3851402359094	11.7434875322496	1	12.9233357477506	40.6309149210382	1	1	1	1	1	12.2927890295958	1	1
AC012645.3	1	12.034324583743	1	11.0004358662286	1	1	1	1	1	35.5429709021572	28.0177885257802	1	1
AC013264.1	1	1	1	20.9792439102196	1	1	1	1	1	1	20.6560649335529	1	1
AC013400.1	1	1	1	1	14.277431819854	1	1	1	1	1	1	1	1
AC016065.1	1	1	1	1	18.2887143952316	1	9.60853048775279	1	1	1	1	12.0398810194873	1
AC016831.5	11.3571235217456	17.0120343250791	29.4278907957705	17.7357449400636	1	1	1	1	1	18.2729052729078	15.2912808374486	15.1048329009876	1
AC016831.7	32.6451689090267	1	13.6062608145474	55.8719827583001	131.108821189039	1	1	1	1	1	18.779093271711	1	1
AC017002.1	1	12.4061384820556	1	1	1	1	36.8016676695744	1	13.9133169319053	1	1	13.5326433853494	1
AC017002.3	1	113.883423060759	1	1	1	1	15.9041547293052	1	10.8428731114819	1	50.7997100539316	19.4964632457543	1
AC017083.1	1	1	1	1	11.6155626340371	1	1	1	1	1	1	1	1
AC018647.1	1	1	1	1	1	1	38.9668582948329	1	1	1	1	1	1
AC018816.1	1	1	1	1	1	1	1	1	1	1	14.7093773814009	1	1
AC020656.1	1	1	26.8971316661261	1	1	1	1	1	1	1	1	1	1
AC020659.1	1	1	1	1	23.9229698673364	1	1	1	1	1	1	1	1
AC020911.2	1	1	1	13.7492194813888	35.217530425574	1	13.9421003723213	17.0726455047952	1	1	1	1	1
AC021054.1	1	1	1	1	13.3842224573145	1	1	1	1	1	1	1	1
AC021188.1	1	14.962851379983	1	11.1750041617099	18.1987848410435	1	1	1	1	1	12.4264099239151	1	1
AC021678.2	1	1	1	1	1	1	1	1	1	12.7999971855055	1	1	1
AC022098.1	1	1	1	1	1	1	1	1	1	11.3561110657504	1	1	15.9875684537904
AC022182.1	1	1	1	1	1	19.7934643713555	1	1	1	1	1	1	1
AC022182.2	1	1	1	1	1	1	1	1	1	17.0724531967969	12.9331754089379	1	1
AC022364.1	1	1	1	1	11.9604379373827	1	1	1	1	1	1	1	1
