NAME	T.cells	Myeloid.cells	B.cells	Mural.cells	Endothelial.cells	Fibroblasts	Cancer.cells
CD3E	2.11837316817087	0.20432115050552	0.0625383043148447	0.0626868193490165	0.124218105813533	0.0638332895404624	0.146490625914405
CD3D	1.59420386345878	0.155193529735532	0.0442600186933035	0.0398932729972588	0.0785439646529239	0.0319450725845712	0.0822467833406785
CD2	1.56828935741046	0.154025690667113	0.0427660893080002	0.0293173723430424	0.0748609073652605	0.0407651231179178	0.0507849254327662
IL7R	1.95577333562965	0.492529264065722	0.0638453576893983	0.0673030321938651	0.320387387674961	0.0982095350081951	0.232075860360089
CD7	1.28040951389983	0.172027799286108	0.0339518798774205	0.0300315400270315	0.0594401645888552	0.0275982744998014	0.100310589986689
GZMA	1.078489857932	0.0794851647390027	0.0282148640699172	0.0291397403360723	0.0517272599233965	0.0243159791989307	0.059154095509473
NKG7	1.1245404731385	0.151584975900706	0.0333418946430222	0.0488740826177073	0.0572604390080466	0.0273402829150276	0.0720170705458697
IL32	2.49847108954312	0.327436293805087	0.0850577306135007	0.66995668049697	1.11419693504224	1.0491843554814	0.651748697477229
CST7	1.4534716036608	0.693103376540989	0.0443286947796341	0.0423189301019187	0.0891970519814195	0.0415510027378673	0.137893098662881
GZMK	0.867730482351273	0.0742090141726749	0.0234153343913872	0.0265315440984873	0.0368990757134543	0.0133355663710558	0.0422137998132145
CCL5	2.40390914916463	0.381941607807115	0.228733825136256	0.0894094517990783	0.20148449463137	0.1424446512341	0.214509944635279
CD8A	0.843515688268413	0.0859863778350414	0.0228246516480786	0.0260338159707876	0.0604670624527635	0.0160907370974329	0.0395521354675293
CD3G	0.800927499629345	0.0661806670754974	0.0187558955479715	0.0152432511665009	0.0381708580911445	0.0191398653624946	0.0499141917509191
ICOS	0.694816855384254	0.0588802189088007	0.0193187836079201	0.0100165456205934	0.051864753853191	0.0149652035116651	0.0623198474154753
FYB1	0.983723542543987	0.566789953527395	0.038184028329873	0.020463273525238	0.049695249733172	0.0274320062633339	0.0558045829043669
TRBC1	0.6487485975492	0.070185510603308	0.0197451670921678	0.0209924407581707	0.03617538231982	0.0154928906667183	0.0228810509513406
CD247	0.677142609112762	0.0585631227377098	0.0283011607434604	0.015600088926462	0.0274509574465774	0.0113317787023768	0.0375489895484027
KLRB1	0.645759447387388	0.0914808888928003	0.0193611558090385	0.0344949935556768	0.0316932621298795	0.0117868037153986	0.0372798033321605
CD8B	0.566194235182374	0.0452224893969634	0.0115524443122563	0.00678945923899556	0.0340353762247916	0.0101772084894539	0.0243977758463691
