"","Quantiseq_B.cells","DWLS_CCLE.TIL10_B.cells","CBSX_CCLE.TIL10_B.cells","B.cells_Subgroup.1.Iteration.2","B.cells_Subgroup.3.Iteration.2","B.cells_Subgroup.5.Iteration.2","B.cells_Subgroup.1.Iteration.4","DeconRNASeq_LM22_B.naive.cells","B.naive.cells_Subgroup.1.Iteration.1","Epidish_LM22_B.memory.cells","DWLS_LM22_B.memory.cells","CBSX_LM22_B.memory.cells","DeconRNASeq_CBSX.HNSCC.scRNAseq_Macrophages.cells","DeconRNASeq_CBSX.Melanoma.scRNAseq_Macrophages.cells","CBSX_CBSX.HNSCC.scRNAseq_Macrophages.cells","CBSX_CBSX.Melanoma.scRNAseq_Macrophages.cells","DeconRNASeq_BPRNACan_Macrophages.M0","DeconRNASeq_BPRNACanProMet_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M1","CBSX_LM22_Macrophages.M1","Macrophages.M1_Subgroup.1.Iteration.2","Macrophages.M1_Subgroup.2.Iteration.2","Macrophages.M1_Subgroup.3.Iteration.2","Quantiseq_Macrophages.M2","DeconRNASeq_BPRNACanProMet_Macrophages.M2","DeconRNASeq_CCLE.TIL10_Macrophages.M2","CBSX_TIL10_Macrophages.M2","DeconRNASeq_LM22_Macrophages.M2","Macrophages.M2_Subgroup.1.Iteration.1","Macrophages.M2_Subgroup.2.Iteration.1","Macrophages.M2_Subgroup.4.Iteration.1","Macrophages.M2_Subgroup.1.Iteration.2","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_Monocytes","DeconRNASeq_CCLE.TIL10_Monocytes","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_Monocytes","CBSX_CCLE.TIL10_Monocytes","CBSX_TIL10_Monocytes","Monocytes_Subgroup.1.Iteration.1","Monocytes_Subgroup.1.Iteration.2","Monocytes_Subgroup.2.Iteration.2","Quantiseq_Neutrophils","DeconRNASeq_BPRNACanProMet_Neutrophils","DeconRNASeq_LM22_Neutrophils","CBSX_TIL10_Neutrophils","Neutrophils_Subgroup.2.Iteration.1","Neutrophils_Subgroup.3.Iteration.1","Neutrophils_Subgroup.4.Iteration.1","Neutrophils_Subgroup.1.Iteration.2","DeconRNASeq_BPRNACan3DProMet_NK.cells","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","CBSX_TIL10_NK.cells","NK.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_NK.resting","Epidish_LM22_NK.resting","DWLS_LM22_NK.resting","CBSX_LM22_NK.resting","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","DeconRNASeq_CBSX.HNSCC.scRNAseq_CD4.cells","DeconRNASeq_CBSX.Melanoma.scRNAseq_CD4.cells","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells","Epidish_CCLE.TIL10_CD4.cells","DWLS_BPRNACan_CD4.cells","DWLS_CCLE.TIL10_CD4.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells","CBSX_CCLE.TIL10_CD4.cells","CBSX_TIL10_CD4.cells","CD4.cells_Subgroup.1.Iteration.1","CD4.cells_Subgroup.3.Iteration.1","CD4.cells_Subgroup.1.Iteration.2","DeconRNASeq_LM22_T.cells.CD4.memory.activated","CD4.memory.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.CD4.memory.resting","CD4.memory.resting_Subgroup.1.Iteration.1","DeconRNASeq_LM22_CD4.naive","CD4.naive_Subgroup.1.Iteration.1","DeconRNASeq_BPRNACan_CD8.cells","DeconRNASeq_CBSX.HNSCC.scRNAseq_CD8.cells","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","DWLS_LM22_CD8.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","CBSX_CCLE.TIL10_CD8.cells","CBSX_LM22_CD8.cells","CBSX_TIL10_CD8.cells","DeconRNASeq_LM22_T.cells.regulatory","CBSX_CCLE.TIL10_T.cells.regulatory","CBSX_TIL10_T.cells.regulatory","T.cells.regulatory_Subgroup.2.Iteration.1","T.cells.regulatory_Subgroup.3.Iteration.1","T.cells.regulatory_Subgroup.1.Iteration.2","Quantiseq_T.cells.non.regulatory","DeconRNASeq_LM22_T.cells.helper","CBSX_LM22_T.cells.helper","T.cells.helper_Subgroup.1.Iteration.1","DWLS_LM22_T.cells.gamma.delta","CBSX_LM22_T.cells.gamma.delta","DeconRNASeq_CBSX.HNSCC.scRNAseq_Dendritic.cells","CBSX_CCLE.TIL10_Dendritic.cells","CBSX_TIL10_Dendritic.cells","Dendritic.cells_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Dendritic.activated.cells","Dendritic.activated.cells_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Dendritic.resting.cells","Dendritic.resting.cells_Subgroup.1.Iteration.1","DeconRNASeq_BPRNACanProMet_Cancer","DWLS_BPRNACan_Cancer","DeconRNASeq_CBSX.Melanoma.scRNAseq_Cancer","Epidish_CBSX.Melanoma.scRNAseq_Cancer","CBSX_CBSX.Melanoma.scRNAseq_Cancer","Cancer_Subgroup.1.Iteration.1","Cancer_Subgroup.2.Iteration.1","Cancer_Subgroup.3.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_Endothelial","DeconRNASeq_CBSX.Melanoma.scRNAseq_Endothelial","Endothelial_Subgroup.1.Iteration.1","Endothelial_Subgroup.2.Iteration.1","DeconRNASeq_LM22_Eosinophils","DeconRNASeq_LM22_Plasma.cells","DWLS_LM22_Plasma.cells","DeconRNASeq_CBSX.HNSCC.scRNAseq_Myocytes","DeconRNASeq_CBSX.HNSCC.scRNAseq_Mast.cells","DeconRNASeq_LM22_Mast.activated.cells","Mast.activated.cells_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Mast.resting.cells","Mast.resting.cells_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_CAF","DeconRNASeq_CBSX.Melanoma.scRNAseq_CAF","CBSX_CBSX.HNSCC.scRNAseq_CAF","CBSX_CBSX.Melanoma.scRNAseq_CAF"
"SAM7f0d9cc7f001",0.0502109876607111,0,0.00915372489049621,0.102195987390984,0.109071621382427,0.858874642363437,0.085119417701335,0.222007985876902,0.0501943978738944,0.0920402191587718,0.109216974670721,0.170060584386941,0.0493269100537493,0.0905425669778718,0.0212009865371336,0.072098874420348,0.0279943988754476,0.0184709826531942,0.0626674105784914,0.0463451110870231,0,0,0.111833666995169,0,0.217048787839744,0.04255419434694,0.185841674073255,0.0283086442291309,0.168690982377401,0.0258256075940982,0.104436192540433,0.238136962276612,0.0621896953314905,0.00042921116882687,0.283312042031586,0,0,0.106790731040975,0.0732533219959394,0.0097441062019055,0.0140567526001915,0.0502817390668037,0.16895713456508,0.0286990070384877,0.0180281231153337,0.169414024796185,0.114800603010708,0.0322912744874768,0.257963061849176,0.146758342708199,0.120071804630594,0.16985151481346,0,0,0,0,0,0.0287048443153942,0.0432682385383242,0.0218813100938999,0.133218343104666,0.0617705783975423,0,0.00790778688200211,0.0189378522441698,0.0716183602751456,0.0562177641027085,0,0.000649308240755662,0,0.202604143927827,0.00089879543360074,0,0.0269430585837942,0,0.172823232702042,0.00363888531183197,0.04970866664242,0.199015620057321,0.355957589753671,0.141231906026341,0.0732116380205628,0.0820923242381229,0.0796038918679843,0,0.0554408561008696,0,0,0.00425449060634506,0.00247225607175879,0,0,0.116213953142589,0.296765917264009,0.0969907057965465,0.190905951700281,0.0848813949799176,0.0107080406767608,0,0.0257797309036399,0.0202222456981095,0,0,0.0309884203991864,0,0,0,0.142919238017568,0.0530935867632768,0,0,0.337292673001679,0.946295163600507,0.104482697796008,0,0,0.904753408557259,0.359791543078446,0.056079933328255,0.070092296947049,0.124741908854629,0.0548097106424439,0.0232426891935276,0.012325952857128,0,0,0.116421661646962,0.11366510243842,0.00818054070982467,0.0226774472152616,0.120253980369884,0.0139925990267958,0.28590750659037,0.436257467895441,0.709640950677676,0.644184075917855
"SAM4305ab968b90",0.00860392894906503,0,0.00917847894989512,0.10942856205697,0.116097437025124,0.746831282271989,0.0472147889579217,0.0814978628260184,0.0728719257488646,0,0,0,0.0414297790349577,0.130162510018879,0,0.131310138333218,0.00838665381681133,0,0.137310847863592,0.0193296102130187,0.0714019830827741,0,0.126652563159575,0,0.00531072576858905,0.0235417119395243,0.183722608702021,0.0833403478735055,0.0455231014502534,0,0.0133892489347849,0.226671293907807,0.162770038435464,0,0.267993991454547,0.0199677450816975,0.10843038795838,0.00129882266120132,0.289488667984982,0,0.00171485532211886,0.0729846152567166,0.101526067971334,0.0291803945324971,0.0337022275161149,0.467736351782018,0.0256154904520064,0,0.687645311573268,0.153566402670377,0.120368720850363,0.167086397380556,0,0,0.111356364179319,0,0.0679623530516183,0.00425592540362998,0.08623065741101,0.053953442049814,0.141077171359088,0.205964508661913,0.014318571389231,0.0898187547594495,0.00132542803533428,0.0789004789593247,0.0289165540592675,0,0,0,0,0,0.0664777171603855,0.00736000051671289,0,0.00377259927259132,0.022400879059637,0,0,0.353831897342207,0.0195115248996022,0.0154995207375316,0.0634349845787605,0.101685279946945,0,0,0,0,0.0119801746464625,0.0453167506321,0,0.0196549922820334,0.0222382982685537,0.0194177974430421,0.0020415046392983,0.0027027052404624,0.177721241827789,0,0.0838994965224856,0,0,0,0,0.0618473165835308,0.00345097223015593,0,0.0681678532499971,0.0348468137127501,0.0273598475969789,0.0503205423533335,0,0.353726992775377,0.997397564761441,0.171929432265253,0.0120585420633694,0.00317656695233712,0.977218906299196,0.653700825654845,0.334542514747992,0.0857158948374092,0.1847181930772,0.025913342437847,0,0.0427061168253744,0.14134689513725,0.0192026755155865,0.11759367377833,0.122429793922689,0,0,0.129081981359591,0.15174366351414,0.104327925666348,0.21595533340584,0.282543209847124,0.852870114289281
"SAMcf018fee2acd",0.0428576076854948,0.000837719337755038,0,0.103561323655729,0.104200195824619,0.854860669833473,0.0546216894794541,0.0825550806594465,0.025235539477341,0.0223784294028084,0.00319934009445895,0.0153724746417537,0.0725069412850304,0.137029058500874,0.0554479155472955,0.211672836620613,0.0283932468829129,0.0176429522140612,0.158286733762333,0.114007138972242,0.0325739382058632,0,0.112059321085593,0,0.0774907278797243,0.0987076719983699,0.181695077493278,0.0845115071323126,0.105532393558266,0.0274645286848042,0.12019359399161,0.24053765612787,0.156751153532248,0.00705709142483217,0.290882919952508,0,0.00365100872573145,0.340599803195455,0.314219526107418,0.356579968331252,0.022780567387993,0.0460338200274498,0.141119574184157,0.0347695578013498,0,0.306580514798079,0.0591227055570759,0.00740102373481388,0.112373813470136,0.154853716274401,0.116439969256628,0.173264766006735,0,0,0,0.0237753080437832,0,0,0,0.00361005945873453,0.113418088466504,0.100817277213028,0,0.0537357875342455,0.0154263641419164,0.0756760666220619,0.0269212093284918,0,0,0.009505097242317,0.0784035069744662,0,0,0.0137329072095069,0,0.128942477796997,0.0311230982502924,0.0110844809883619,0.130480231468331,0.480854138322039,0.0878903272560993,0,0.0766107796838894,0.0636697226532067,0,0.016200670130093,0,0,0,0.0227771084552387,0.00541482926415689,0,0.0200860580129624,0.155660998820142,0.0246404136449107,0.0270683264800809,0.0914265200956361,0,0,0.00551037865711731,0.00231289838299824,0,0,0.0309084419899915,0,0,0,0.159240292050104,0.0578174199819842,0.0413273354575229,0,0.346270836992134,0.950670149779269,0.151274074493997,0,0,0.937721713396324,0.352809901692975,0.0853527544116694,0.0920673942042991,0.167299726954683,0.0550190790778057,0.0543959527087165,0.0101255374283347,0.0809785461583374,0,0.0965680290019321,0.108992002923708,0,0,0.0907186563829767,0.0158252078847418,0.218716909955925,0.278991785264223,0.586113089859818,0.603689177861272
"SAMcc4675f394a1",0.0252164393817904,0,0,0.0491810284066839,0.134849738235395,0.735522635731694,0.0401505946213972,0.111963806065919,0,0,0,0,0.0590901805426356,0.0952663863834282,0.0507882837163123,0.0909077899161458,0.0258154859627714,0.0166312034260582,0.111127877469945,0.19177043973896,0.0349214995898897,0.00670337178457579,0.0980081821758317,0.00159136156000367,0.210315184818614,0.033669047278949,0.173077417571491,0.016495985232827,0.0839319417421802,0.081372075625785,0.0144092585899637,0.0435813712736679,0.0641397247317119,0.00066252742187693,0.291299371831609,0,0.0577860377845081,0,0.0590536149965274,0,0.0216184545115389,0.168681354415295,0.0991749913967225,0.109427120360812,0.00278148020782394,0.146515862470851,0.224168397000917,0.00346552604847877,0.56210508768839,0.127257605314809,0.0803756302083609,0.19621097756142,0,0,0.0138383612660818,0,0.0260583123079813,0.0281608324192331,0.0767230666041061,0.0554328048810735,0.136263207159382,0.163707619196733,0,0,0.00780519949778337,0.0717372607936016,0.0472016292007869,0.039833135712129,0,0.0100399454354575,0,0.0243766782945352,0,0,0,0.0340707121145151,0.0328881485969315,0.00191454058331805,0.0366796500448594,0.35051251019445,0.120801596161265,0.111248749884986,0.0331222727361883,0.0925254085910553,0,0.118790173045701,0,0.201898164928244,0,0,0.0134447829539724,0,0,0.0957046331923795,0,0,0.107561565559204,0,0,0,0,0,0,0.0435898554476078,0,0,0,0.0721665703687022,0,0.0547225977362753,0.00626085073204211,0.391773684079609,0.964745145513239,0.128880947497565,0,0,0.985537669966254,0.380557244528015,0.0768862984581564,0.067051708415157,0.207070962464267,0.0174506475520493,0.0512101064893592,0,0.080279832561661,0.0102862678178372,0.129708828793433,0.130209623304322,0,0,0.11095914881676,0.008492642485662,0.193803956671261,0.316367178454477,0.855891711646819,0.820956444938979
"SAM49f9b2e57aa5",0.0226689578304346,0.00169304440491066,0.00188784859426639,0.0949015546400843,0.131967738011945,0.82358127585056,0.0827447059990801,0.190816585866111,0.17770542241726,0.0144903959951465,0.0450703278322331,0,0.0385174678421503,0.0767983582158608,0.0247656249391676,0.11259995400297,0.0240218813365378,0.0160816737732188,0.1038974872678,0.0586409748656086,0.0471967069435041,0.00957731233569513,0.105306444377677,0,0.00281751358758227,0.0129239993810651,0.167985956473083,0.0689232067193347,0.43019250575469,0,0.00540885803689901,0.0123816640134746,0.0466715121420241,0,0.28227277587333,0.0212723405481036,0.0429907190552835,0,0,0.232192688585357,0.00384348008538764,0.0577438515451149,0.127357535960503,0.017206970137775,0.0443191368142088,0.334774949120964,0.018533003425449,0,0.39931246548748,0.150681039617413,0.102937683808371,0.168983751444026,0,0,0,0,0.00481537644678548,0.0370733548852485,0.0253097260024714,0,0.149680350737288,0.186930827676091,0,0,0.0276776848872555,0.0736913064825591,0.0398301910297881,0,0,0,0,0.00111995874267702,0,0.00466185050793455,0,0.136875710022867,0.0453196775030689,0.0335006693972413,0,0.248767780953478,0.159060237808931,0.288971699099098,0.0727614729009037,0.0529251367491715,0,0,0,0.127981477091033,0.00504494439700842,0,0,0,0.0182349446993266,0.235032545124346,0.00135472839937781,0.00156483908712594,0.180914979659731,0,0.0625677278612559,0,0,0,0,0.0375578956663482,0.0286505766732397,0,0,0.0253745714573512,0,0.0421317483728143,0.0210929682512957,0.418930671226358,0.973093454850711,0.157573991370434,0,0.00477848512488102,0.96010114465783,0.600905044784293,0.149640698240493,0.0732184503100104,0.163943120412138,0,0.00334239331426848,0.00906549881534951,0.0697054429605355,0,0.0976262323994627,0.10897705688249,0,0,0.10307725665591,0.00498279774955776,0.178011694471073,0.285514060341971,0.576844891340041,0.667483934504015
"SAM2e7aa8fa0ab3",0.012022509813882,0.00142828828653496,0.0163702999520778,0.0923826086110804,0.114190161802324,0.708045267845295,0.0756877504272781,0.144242390943812,0.032394940106522,0,0,0,0.0470335099950437,0.0491892299236812,0.0216509309334681,0.0811122311922787,0,0,0.112465609802323,0.0763175311173472,0.0773777943357724,0.0466747012865551,0.120672285240959,0,0.266598378830911,0.0178134783985179,0.176298892377078,0.062405854189318,0.241805978236663,0.00487107114862645,0.0366874968594286,0.064871165164796,0.0596479643217303,0,0.300475213950061,0,0.0373438802301121,0,0,0,0.0102461435734994,0.0805525156796415,0.361187502786615,0.0339202540924319,0.014768392337512,0.117324708767855,0.0535416531608526,0,0.379312396986824,0.287249403858631,0.114645574551013,0.160983371256747,0.11880604775352,0.0283454296261596,0.0242111359937846,0.085245763039959,0.0271793156508845,0,0,0,0.142469452022433,0.054308218529073,0,0,0.0081388013562254,0.0523741749551207,0.0117921297288449,0.0253160921938345,0,0.00262201409579384,0,0,0,0.00646644954427964,0,0.059875657949694,0.0420389726860034,0,0.0423873876448682,0.441797443117625,0.0620111449575744,0,0.069408446110045,0.0785502672056218,0,0.0503201087263405,0.0400926828365041,0.330273472636222,0.0146471981528842,0,0.0132484985257654,0.0309371118437662,0.0500700571359034,0.12162845171458,0.00489504917720297,0.0134286943452544,0.0802995351164335,0,0.0177286117485157,0.00098562673764664,0,0,0,0.0355708752731783,0.0844147372152559,0.309753599071875,0,0.0621555822626102,0.00819489351992445,0.0474290129461359,0,0.379614554998378,0.985741934868678,0.106190131074577,0,0,0.977451064424236,0.460359556074973,0.110849638417049,0.0516730522501988,0.116861745359394,0,0,0.0508810638607204,0.0944001053057131,0.034280995354035,0.109321171462994,0.115309611182315,0,0.0226376427091195,0.102313989572736,0,0.203468017523695,0.434662078303378,0.535684867502786,0.848556376915902
"SAMdf3e42c8672a",0.0141023008492702,0,0,0.0916994813779247,0.0891524034983541,0.347981034999972,0.058122816236043,0.0764740254712451,0.0331465263191201,0,0.00855559459802115,0,0.0298578112041613,0.035932220029213,0.0140842315853131,0.0822369865191437,0,0,0.178062128907307,0.145891664355083,0.0729347437566316,0.0370615184912613,0.124684338290529,0.0353743521338991,0.211614889812098,0.0107701921218855,0.185424253948984,0.02695803355641,0,0.00684730042794193,0.00062084239584684,0,0.0601679135291694,0.0597715675115343,0.330281636257582,0.0407723517917015,0.278069544598689,0.0434824483154453,0.512125230271312,0.200812962232543,0.00404639894803799,0.0207047631346777,0.102327367009169,0.0288243557085157,0,0.0875665484058138,0.00907068738013994,0.00480514686506098,0.0958512958708472,0.138692736633941,0.117275464084816,0.134472874631552,0,0,0,0.00812778033669938,0,0.0345709399463531,0.0633142371015172,0,0.146930213009916,0.136666363823455,0.0331256755640335,0.115699143979006,0.00803946138273491,0.0510984442797454,0.0304803160362606,0.0102805130265199,0,0,0.256066051266058,0,0,0.00650394116870057,0.0535539918432999,0.0241748329067862,0.0971683625094812,0.0860396317282773,0.106581351832732,0.320882855231484,0.0981147853333763,0,0.0839695230966544,0.0572584057474047,0,0.0037912295611445,0.00311694377156034,0,0.0013435560968201,0,0,0,0.0148340042535406,0.0903885267631568,0.0051381915508309,0.047714204694843,0.0699158128195865,0,8.0504769649957e-05,0.0358993168744473,0.0117399259534556,0,0,0.0202030132171587,0,0,0,0.0810592730721599,0.0342905387915889,0.085420140459788,0,0.369978257587851,0.874901174590107,0.103692283905616,0,0,0.94988058872081,0.669754002650715,0.716925190048002,0.0140092856801618,0.1146684585486,0,0,0,0.0785912998204912,0.00251564592872005,0.0774292135146265,0.079192443275808,0.0853658809397614,0.170702281836206,0,0,0.0732039344882743,0.437128612636526,0.0240461984273846,0.828301484898379
"SAMd027124354ce",0.015159032269808,0,0,0.0578074766853927,0.115879687818328,0.48056621086526,0.0411079871451763,0.00153754675322659,0.0397530188042897,0,0,0,0.0432260977378146,0.0754624924754246,0.0445509990459383,0.0558008294674069,0,0,0.519016412111479,0.615376843040253,0.0577476239957681,0.0142011769460203,0.137815985688595,0.188242990552805,0.055738899701708,0.00826549577054079,0.157676686909135,0.0526070338265307,0,0.0282178075268735,0.0284969762312403,0.337737064306094,0.124639520975468,0.0996266407221074,0.325009145609802,0,0.250450739074377,0.0320643202119223,0.629229009752941,0.0281621295385387,0.00206600906897483,0,0.237095980650688,0,0,0.299054777631788,0,0,0.147861170680746,0.226446928592081,0.0750891941056257,0.190540193095424,0.0513694811489109,0.0974791113299623,0,0.00823448843721982,0.00774876940609445,0,0,0,0.127177485342995,0.0346543506252795,0,0,0.00546030091619604,0.0565773899164815,0.0244379449859932,0.0440239062271646,0,0,0,0.0422117406632433,0,0.004036685605269,0,5.56358216212e-06,0,0,0,0.0562522508049199,0,0,0.0535426650343851,0.0960832280650679,0,0.00723004638392689,0,0.216627251641095,0,0,0.00822978320723257,0,0,0,0,0,0.0798534887338211,0.0135241831081945,0.225105629698025,0.093720421799172,0.0805617559638185,0.0315126587555432,0.0572753240330957,0.0480290792331936,0,0,0,0,0,0,0,0.458110746597182,0.671919819022328,0.0951086074309459,0,0,0.951198798766276,0.657630354314569,0.278726202465988,0.0501917918826899,0.108267965472227,0.0026494604556974,0,0,0.0829590871771812,0.00757702660132795,0.122121336231363,0.127603915447334,0.0552132716384164,0.0259701721294515,0.0224538516929357,0,0.215471872256633,0.483975560972655,0.552393229497798,0.944199170532593
"SAMe7bf6c015192",0.036139972613183,0,0.00889895754857304,0.0922474261354315,0.101363548942858,0.81521396006288,0.0665027426190858,0.13337263519129,0,0.046137808354152,0.0363607227628059,0.0702869686628037,0.058957754436844,0.0994941491897668,0.0796586865995357,0.158979362595976,0,0,0.0221182387027447,0.0271725924280442,0.0540394695443883,0.0247304705097845,0.11957914940708,0,0.298810232236508,0.0287818524980469,0.168143991756892,0,0.066902708991941,0.115081168969029,0.0434778278996489,0.0741581959544448,0.088746461112663,0.00156850016740034,0.303801807275845,0,0,0,0.145836804438339,0.076484867740851,0.0185574328676493,0.0620088037788516,0.102753287124328,0.0239116524201652,0,0.0798672052970859,0.0618320048593472,0.0244578454014886,0.157423864538946,0.135455252745477,0.110665783999039,0.159808967206099,0,0,0,0.103875641313716,0.0256631458880961,0,0,0,0.110701203599355,0.0705919558887509,0.101609084570452,0.0771690229675459,0.0126317937716547,0.0691160386174323,0.00440498706657864,0,0,0,0.128360843607787,0,0,0.0009386579546287,0.0779416930693047,0.143388307166623,0.0709220450559647,0.0304813183235029,0.161975944324122,0.457768460727018,0.0622020313919753,0,0.0821346616969529,0.0540540678846968,0,0,0,0,0.00690039046151558,0,0,0,0.0684330017736487,0.205339996167473,0.0453850603568215,0.169023825545983,0.0901896001826347,0,0,0.0263103562087141,0.00716041005539201,0,0.0127130883043544,0.0160506000442634,0.0608885286470131,0,0.00260521223109093,0.121437487155737,0.0520964005087248,0.0720764501543063,0.0221796555178794,0.376514226930666,0.933830185866532,0.121280172673603,0,0,0.929914655354562,0.460195499690063,0.341978944606965,0.0290615931256457,0.141515836525957,0,0.00297555805571631,0,0.0237686212925547,0,0.0696975845949723,0.0816902927051948,0,0,0.0646596836328229,0.0139527781389955,0.174972612128444,0.345740854894323,0.370079331577214,0.62180616065889
"SAM6dd7ad1d797d",0.0212122253081978,0.000448082356570913,0.00951649647338298,0.0523700058398559,0.0874699037721531,0.864434692695365,0.053898518004838,0.0297567102581766,0.0590470561436055,0,0,0,0.0524409354458973,0.0602142194362942,0.167583343926191,0.130157227057243,0,0,0.0811600596582573,0.13371562058573,0.0390734420928382,0.00591266312350546,0.0964807591738644,0.0341498119091696,0.354665147331623,0.0269485342468054,0.148785069180058,0,0.214191429371144,0.0674078481965772,0.0666082898532535,0.197700397225664,0.215506223815424,0,0.277309490125353,0,0.0414643916280045,0,0.0163446051920267,0,0.0481476885333677,0.00715957271971018,0.179236686368732,0.0241142554636748,0.0581866015211618,0.14867240197921,0.0776282179013797,0.0514892142626736,0.205270208120752,0.142457573533318,0.0859360489508809,0.183766493359027,0,0,0,0.0555884333816575,0,0,0,0,0.108805994030539,0.0460946014412558,0,0,0.00998752246626652,0.0451654271719066,0.0260064234604869,0,0.0138469627620799,0,0,0.0581245361385941,0,0.0163694905567127,0,0.0551399267915798,0,0.000424906096053725,0.0905512918301998,0.151635943211933,0.093523830002087,0,0.0184029255053172,0.0839760885062404,0.0166987048432077,0.0548678616228273,0,0.0738973480722703,0.00966925436592597,0,0,0,0,0.0773440455921018,0.0252019694394387,0.0922047518247852,0.0765246731677874,0,0,0.00863630658406111,0.0191316014840676,0,0,0.0362746441271364,0.00465799526948307,0,0,0.114521033261719,0.0314666041276942,0.165657590825375,0,0.510392223018107,0.892685231197544,0.0709248675758877,0,0,0.919187879093707,0.478900573651065,0.215512394373824,0.0535510726279155,0.0915128871034095,0,0.000165426726069267,0,0.0264727631037225,0.0130766896954952,0.10992658311175,0.115653968278808,0.215957149634716,0.218228981048449,0,0,0.214231993496562,0.541400315031924,0.475520985357578,0.759279353715626
